ID;RANK;BUILDING;CITY;COUNTRY;HEIGHT_M;HEIGHT_FT;FLOORS;BUILD;ARCHITECT;ARCHITECTUTAL_STYLE;COST;MATERIAL;LONGITUDE;LATITUDE;IMAGE_URL
50;48;The Center;Hong Kong;Hong Kong;346.0;346.0;73;1998;;;0.0;;0.0;0.0
51;49;John Hancock Center;Chicago;United States;344.0;344.0;100;1969;;;0.0;;0.0;0.0
52;50;ADNOC Headquarters;Abu Dhabi;UAE;342.0;342.0;76;2015;;;0.0;;0.0;0.0
53;50;Ahmed Abdul Rahim Al Attar Tower;Dubai;UAE;342.0;342.0;76;2015;;;0.0;;0.0;0.0
54;52;The Wharf Times Square;Wuxi;China;339.0;339.0;68;2014;;;0.0;;0.0;0.0
55;53;Chongqing World Financial Center;Chongqing;China;338.9;338.9;78;2014;;;0.0;;0.0;0.0
56;54;Mercury City Tower;Moscow;Russia;338.8;338.8;75;2013;;;0.0;;0.0;0.0
57;55;Tianjin Modern City Office Tower;Tianjin;China;338.0;338.0;65;2015;;;0.0;;0.0;0.0
58;56;Tianjin World Financial Center;Tianjin;China;337.0;337.0;79;2010;;;0.0;;0.0;0.0
59;57;Twin Towers Guiyang, East Tower;Guiyang;China;335.0;335.0;74;2017;;;0.0;;0.0;0.0
60;57;Twin Towers Guiyang, West Tower;Guiyang;China;335.0;335.0;74;2017;;;0.0;;0.0;0.0
61;59;Shimao International Plaza;Shanghai;China;333.0;333.0;61;2005;;;0.0;;0.0;0.0
62;60;Rose Tower;Dubai;UAE;333.0;333.0;72;2007;;;0.0;;0.0;0.0
63;61;Minsheng Bank Building;Wuhan;China;331.0;331.0;68;2008;;;0.0;;0.0;0.0
64;62;China World Trade Center Tower 3;Beijing;China;330.0;330.0;74;2009;;;0.0;;0.0;0.0
65;62;Ryugyong Hotel;Pyongyang;North Korea;330.0;330.0;105;1992;;;0.0;;0.0;0.0
66;62;Zhuhai St. Regis Hotel & Office Tower;Zhuhai;China;330.0;330.0;67;2017;;;0.0;;0.0;0.0
67;62;Yuexiu Fortune Center Tower 1;Wuhan;China;330.0;330.0;66;2017;;;0.0;;0.0;0.0
68;66;Hon Kwok City Center;Shenzhen;China;329.4;329.4;80;2015;;;0.0;;0.0;0.0
69;67;Keangnam Hanoi Landmark Tower;Hanoi;Vietnam;328.6;328.6;72;2012;;;0.0;;0.0;0.0
70;68;Al Yaqoub Tower;Dubai;UAE;328.0;328.0;69;2013;;;0.0;;0.0;0.0
71;68;Longxi International Hotel;Huaxi Village;China;328.0;328.0;72;2011;;;0.0;;0.0;0.0
72;68;Wuxi Suning Plaza 1;Wuxi;China;328.0;328.0;68;2014;;;0.0;;0.0;0.0
73;71;The Index;Dubai;UAE;326.0;326.0;80;2010;;;0.0;;0.0;0.0
74;72;Guangxi Finance Plaza;Nanning;China;325.0;325.0;68;2016;;;0.0;;0.0;0.0
75;73;The Landmark;Abu Dhabi;UAE;324.0;324.0;72;2012;;;0.0;;0.0;0.0
76;73;Deji Plaza Phase 2;Nanjing;China;324.0;324.0;62;2013;;;0.0;;0.0;0.0
77;75;Yantai Shimao No.1 The Harbour;Yantai;China;323.0;323.0;59;2015;;;0.0;;0.0;0.0
78;76;Q1;Gold Coast;Australia;322.5;322.5;80;2005;;;0.0;;0.0;0.0
79;77;Wenzhou World Trade Center;Wenzhou;China;322.0;322.0;68;2010;;;0.0;;0.0;0.0
80;78;Burj Al Arab;Dubai;UAE;321.0;321.0;60;1999;;;0.0;;0.0;0.0
81;79;Nina Tower;Hong Kong;Hong Kong;320.4;320.4;80;2007;;;0.0;;0.0;0.0
82;80;Sinar Mas Center 1;Shanghai;China;319.6;319.6;66;2016;;;0.0;;0.0;0.0
83;81;Chrysler Building;New York City;United States;318.9;318.9;77;1930;;;0.0;;0.0;0.0
84;81;Global City Square;Guangzhou;China;318.9;318.9;67;2015;;;0.0;;0.0;0.0
85;83;New York Times Building;New York City;United States;318.8;318.8;52;2007;;;0.0;;0.0;0.0
86;84;HHHR Tower;Dubai;UAE;317.0;317.0;72;2010;;;0.0;;0.0;0.0
87;85;Chongqing IFS T1;Chongqing;China;316.0;316.0;65;2016;;;0.0;;0.0;0.0
88;86;Nanjing International Youth Cultural Centre Tower 1;Nanjing;China;315.0;315.0;68;2015;;;0.0;;0.0;0.0
89;86;Changsha IFS Tower T2;Changsha;China;315.0;315.0;65;2017;;;0.0;;0.0;0.0
90;88;MahaNakhon;Bangkok;Thailand;314.2;314.2;75;2016;;;0.0;;0.0;0.0
91;89;Bank of America Plaza;Atlanta;United States;312.0;312.0;55;1992;;;0.0;;0.0;0.0
92;90;Moi Center;Shenyang;China;311.0;311.0;75;2012;;;0.0;;0.0;0.0
93;91;U.S. Bank Tower;Los Angeles;United States;310.3;310.3;73;1989;;;0.0;;0.0;0.0
94;92;Menara Telekom;Kuala Lumpur;Malaysia;310.0;310.0;55;2001;;;0.0;;0.0;0.0
95;92;Ocean Heights;Dubai;UAE;310.0;310.0;82;2010;;;0.0;;0.0;0.0
96;94;Pearl River Tower;Guangzhou;China;309.6;309.6;71;2013;;;0.0;;0.0;0.0
97;95;Fortune Center;Guangzhou;China;309.4;309.4;68;2015;;;0.0;;0.0;0.0
98;96;Jumeirah Emirates Towers Hotel;Dubai;UAE;309.0;309.0;56;2000;;;0.0;;0.0;0.0
99;97;Stalnaya Vershina;Moscow;Russia;308.9;308.9;72;2015;;;0.0;;0.0;0.0
100;98;Burj Rafal;Riyadh;Saudi Arabia;308.0;308.0;68;2013;;;0.0;;0.0;0.0
101;99;Wanda Plaza 1;Kunming;China;307.0;307.0;70;2016;;;0.0;;0.0;0.0
102;99;Wanda Plaza 2;Kunming;China;307.0;307.0;70;2016;;;0.0;;0.0;0.0
103;101;Franklin Center;Chicago;United States;306.9;306.9;60;1989;;;0.0;;0.0;0.0
104;102;Cayan Tower;Dubai;UAE;306.4;306.4;76;2013;;;0.0;;0.0;0.0
105;103;One57;New York City;United States;306.1;306.1;75;2013;;;0.0;;0.0;0.0
106;104;East Pacific Center Tower A;Shenzhen;China;306.0;306.0;85;2012;;;0.0;;0.0;0.0
107;104;The Shard;London;United Kingdom;306.0;306.0;73;2012;;;0.0;;0.0;0.0
108;106;JPMorgan Chase Tower;Houston;United States;305.4;305.4;75;1982;;;0.0;;0.0;0.0
109;107;Etihad Tower 2;Abu Dhabi;UAE;305.3;305.3;79;2011;;;0.0;;0.0;0.0
110;108;Northeast Asia Trade Tower;Incheon;South Korea;305.0;305.0;68;2010;;;0.0;;0.0;0.0
111;109;Baiyoke Tower II;Bangkok;Thailand;304.0;304.0;85;1997;;;0.0;;0.0;0.0
112;110;Wuxi Maoye City - Marriott Hotel;Wuxi;China;303.8;303.8;68;2014;;;0.0;;0.0;0.0
113;110;Shenzhen CFC Changfu Centre;Shenzhen;China;303.8;303.8;68;2016;;;0.0;;0.0;0.0
114;112;Two Prudential Plaza;Chicago;United States;303.3;303.3;64;1990;;;0.0;;0.0;0.0
115;113;Diwang International Fortune Center;Liuzhou;China;303.0;303.0;75;2015;;;0.0;;0.0;0.0
